交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/05/10,TXO,202109  ,16200.0000,買權,-,-,-,-,0,990,159,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16200.0000,賣權,530,530,530,530,1,530,53,515,555,1620,442,,一般,
2021/05/10,TXO,202109  ,16200.0000,賣權,535,535,525,525,19,-,-,182,-,1620,442,,盤後,
2021/05/10,TXO,202109  ,16400.0000,買權,960,960,960,960,8,875,28,845,885,1150,300,,一般,
2021/05/10,TXO,202109  ,16400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16400.0000,賣權,-,-,-,-,0,615,55,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16600.0000,買權,-,-,-,-,0,770,62,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16600.0000,賣權,-,-,-,-,0,710,31,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16800.0000,買權,-,-,-,-,0,660,76,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,16800.0000,賣權,-,-,-,-,0,800,17,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,16800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17000.0000,買權,-,-,-,-,0,565,39,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17000.0000,賣權,-,-,-,-,0,900,5,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17200.0000,買權,474,474,474,474,1,474,42,441,480,710,180,,一般,
2021/05/10,TXO,202109  ,17200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17200.0000,賣權,-,-,-,-,0,1020,8,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17400.0000,買權,-,-,-,-,0,399,62,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17400.0000,賣權,-,-,-,-,0,1140,1,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17600.0000,買權,-,-,-,-,0,335,72,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17600.0000,賣權,-,-,-,-,0,1270,2,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17800.0000,買權,259,259,259,259,22,273,59,243,274,398,44,,一般,
2021/05/10,TXO,202109  ,17800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,17800.0000,賣權,-,-,-,-,0,1410,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,17800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18000.0000,買權,239,239,222,222,10,222,112,196,228,358,101,,一般,
2021/05/10,TXO,202109  ,18000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18000.0000,賣權,-,-,-,-,0,1560,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18200.0000,買權,183,183,183,183,10,183,72,158,183,281,42,,一般,
2021/05/10,TXO,202109  ,18200.0000,買權,212,216,212,216,4,-,-,32,600,281,42,,盤後,
2021/05/10,TXO,202109  ,18200.0000,賣權,-,-,-,-,0,1720,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18400.0000,買權,-,-,-,-,0,143,40,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18400.0000,賣權,-,-,-,-,0,1880,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18600.0000,買權,-,-,-,-,0,117,45,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18600.0000,賣權,-,-,-,-,0,2050,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18800.0000,買權,-,-,-,-,0,96,5,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,18800.0000,賣權,-,-,-,-,0,2230,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,18800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19000.0000,買權,93,93,90,90,2,77,14,62,90,128,39.5,,一般,
2021/05/10,TXO,202109  ,19000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19000.0000,賣權,-,-,-,-,0,2410,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19200.0000,買權,-,-,-,-,0,62,16,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19200.0000,賣權,-,-,-,-,0,2590,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19400.0000,買權,-,-,-,-,0,50,22,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19400.0000,賣權,-,-,-,-,0,2780,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19600.0000,買權,-,-,-,-,0,40,10,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19600.0000,賣權,-,-,-,-,0,2970,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19800.0000,買權,-,-,-,-,0,37,353,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,19800.0000,賣權,-,-,-,-,0,3160,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,19800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20000.0000,買權,-,-,-,-,0,25.5,43,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20000.0000,賣權,-,-,-,-,0,3360,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20200.0000,買權,-,-,-,-,0,22,164,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20200.0000,賣權,-,-,-,-,0,3550,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20400.0000,買權,-,-,-,-,0,20,166,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20400.0000,賣權,-,-,-,-,0,3750,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20600.0000,買權,-,-,-,-,0,12.5,157,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20600.0000,賣權,-,-,-,-,0,3940,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20800.0000,買權,-,-,-,-,0,9.7,145,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,20800.0000,賣權,-,-,-,-,0,4140,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,20800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,21000.0000,買權,-,-,-,-,0,7.5,8,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,21000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,21000.0000,賣權,-,-,-,-,0,4340,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,21000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,21200.0000,買權,-,-,-,-,0,5.8,2,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,21200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202109  ,21200.0000,賣權,-,-,-,-,0,4530,0,-,-,-,-,,一般,
2021/05/10,TXO,202109  ,21200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,12800.0000,買權,-,-,-,-,0,3790,4,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,12800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,12800.0000,賣權,141,144,136,140,52,140,558,136,144,340,125,,一般,
2021/05/10,TXO,202112  ,12800.0000,賣權,140,143,140,143,2,-,-,138,182,340,125,,盤後,
2021/05/10,TXO,202112  ,13000.0000,買權,-,-,-,-,0,3610,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13000.0000,賣權,-,-,-,-,0,155,92,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13200.0000,買權,-,-,-,-,0,3420,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13200.0000,賣權,-,-,-,-,0,172,61,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13200.0000,賣權,165,165,165,165,1,-,-,164,334,405,152,,盤後,
2021/05/10,TXO,202112  ,13400.0000,買權,-,-,-,-,0,3240,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13400.0000,賣權,-,-,-,-,0,190,12,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13600.0000,買權,-,-,-,-,0,3060,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13600.0000,賣權,-,-,-,-,0,211,7,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13800.0000,買權,-,-,-,-,0,2890,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,13800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,13800.0000,賣權,233,233,233,233,1,233,25,83,250,570,197,,一般,
2021/05/10,TXO,202112  ,13800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14000.0000,買權,-,-,-,-,0,2700,2,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14000.0000,賣權,249,249,249,249,10,249,64,243,276,605,224,,一般,
2021/05/10,TXO,202112  ,14000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14200.0000,買權,-,-,-,-,0,2530,4,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14200.0000,賣權,275,290,275,277,16,277,21,270,303,505,245,,一般,
2021/05/10,TXO,202112  ,14200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14400.0000,買權,-,-,-,-,0,2370,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14400.0000,賣權,316,316,316,316,3,316,17,275,337,730,316,,一般,
2021/05/10,TXO,202112  ,14400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14600.0000,買權,-,-,-,-,0,2210,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14600.0000,賣權,-,-,-,-,0,350,26,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14800.0000,買權,-,-,-,-,0,2050,1,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,14800.0000,賣權,-,-,-,-,0,388,5,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,14800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15000.0000,買權,-,-,-,-,0,1890,5,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15000.0000,賣權,434,434,430,430,6,430,67,418,454,950,369,,一般,
2021/05/10,TXO,202112  ,15000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15200.0000,買權,-,-,-,-,0,1740,10,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15200.0000,賣權,-,-,-,-,0,477,22,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15400.0000,買權,-,-,-,-,0,1590,10,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15400.0000,賣權,-,-,-,-,0,530,29,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15600.0000,買權,-,-,-,-,0,1450,14,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15600.0000,賣權,-,-,-,-,0,585,20,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15600.0000,賣權,595,595,585,585,8,-,-,222,-,1170,530,,盤後,
2021/05/10,TXO,202112  ,15800.0000,買權,-,-,-,-,0,1310,15,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,15800.0000,賣權,-,-,-,-,0,650,43,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,15800.0000,賣權,660,660,655,655,17,-,-,242,-,1010,585,,盤後,
2021/05/10,TXO,202112  ,16000.0000,買權,-,-,-,-,0,1180,34,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,16000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16000.0000,賣權,715,715,715,715,1,715,46,715,750,1450,650,,一般,
2021/05/10,TXO,202112  ,16000.0000,賣權,735,735,715,715,29,-,-,600,-,1450,650,,盤後,
2021/05/10,TXO,202112  ,16200.0000,買權,-,-,-,-,0,1070,7,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,16200.0000,買權,1110,1110,1110,1110,1,-,-,0.6,-,1110,605,,盤後,
2021/05/10,TXO,202112  ,16200.0000,賣權,-,-,-,-,0,800,15,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,16200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16400.0000,買權,1040,1040,990,990,2,960,18,940,995,1210,555,,一般,
2021/05/10,TXO,202112  ,16400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16400.0000,賣權,-,-,-,-,0,895,17,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,16400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16600.0000,買權,890,895,860,860,5,860,7,835,890,1010,610,,一般,
2021/05/10,TXO,202112  ,16600.0000,買權,955,955,955,955,1,-,-,800,1110,1010,610,,盤後,
2021/05/10,TXO,202112  ,16600.0000,賣權,940,940,940,940,1,990,2,960,1020,1050,940,,一般,
2021/05/10,TXO,202112  ,16600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16800.0000,買權,-,-,-,-,0,770,26,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,16800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,16800.0000,賣權,1050,1100,1050,1100,2,1100,9,1060,1120,1350,900,,一般,
2021/05/10,TXO,202112  ,16800.0000,賣權,1050,1050,1050,1050,1,-,-,1000,1100,1350,900,,盤後,
2021/05/10,TXO,202112  ,17000.0000,買權,-,-,-,-,0,685,14,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17000.0000,賣權,-,-,-,-,0,1210,18,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17200.0000,買權,-,-,-,-,0,605,23,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17200.0000,買權,610,615,610,615,4,-,-,162,-,750,319,,盤後,
2021/05/10,TXO,202112  ,17200.0000,賣權,-,-,-,-,0,1340,4,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17200.0000,賣權,1250,1250,1250,1250,1,-,-,20,-,1390,1230,,盤後,
2021/05/10,TXO,202112  ,17400.0000,買權,-,-,-,-,0,525,47,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17400.0000,賣權,-,-,-,-,0,1450,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17600.0000,買權,-,-,-,-,0,459,15,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17600.0000,賣權,-,-,-,-,0,1590,10,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17800.0000,買權,-,-,-,-,0,399,22,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,17800.0000,賣權,-,-,-,-,0,1730,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,17800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18000.0000,買權,-,-,-,-,0,346,94,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18000.0000,賣權,-,-,-,-,0,1870,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18200.0000,買權,-,-,-,-,0,299,8,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18200.0000,賣權,-,-,-,-,0,2020,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18400.0000,買權,-,-,-,-,0,260,5,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18400.0000,賣權,-,-,-,-,0,2180,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18600.0000,買權,-,-,-,-,0,227,13,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18600.0000,賣權,-,-,-,-,0,2350,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18800.0000,買權,-,-,-,-,0,194,4,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,18800.0000,賣權,-,-,-,-,0,2520,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,18800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19000.0000,買權,-,-,-,-,0,169,22,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19000.0000,賣權,-,-,-,-,0,2690,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19200.0000,買權,-,-,-,-,0,145,10,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19200.0000,賣權,-,-,-,-,0,2860,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19400.0000,買權,-,-,-,-,0,123,24,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19400.0000,賣權,-,-,-,-,0,3040,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19600.0000,買權,106,106,105,105,50,105,53,86,114,146,49,,一般,
2021/05/10,TXO,202112  ,19600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19600.0000,賣權,-,-,-,-,0,3220,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19800.0000,買權,93,93,93,93,51,93,60,73,101,149,65,,一般,
2021/05/10,TXO,202112  ,19800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,19800.0000,賣權,-,-,-,-,0,3410,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,19800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,20000.0000,買權,82,82,82,82,10,82,45,63,88,113,55,,一般,
2021/05/10,TXO,202112  ,20000.0000,買權,90,90,90,90,1,-,-,30,130,113,55,,盤後,
2021/05/10,TXO,202112  ,20000.0000,賣權,-,-,-,-,0,3600,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,20000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,20200.0000,買權,-,-,-,-,0,71,7,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,20200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,20200.0000,賣權,-,-,-,-,0,3790,0,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,20200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,20400.0000,買權,-,-,-,-,0,62,7,-,-,-,-,,一般,
2021/05/10,TXO,202112  ,20400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/05/10,TXO,202112  ,20400.0000,賣權,-,-,-,-,0,3980,0,-,-,-,-,,一般,
